model,alg,rabinpairorder,workers,buchi,ltl,errmsg,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,autsize,rabinpairs,ftrans,formula,hoa
bopdp.3_100,favoid,-1,16,ltl3dra,10,OK,0.080,2018-05-14.19:17:09,0,268,547,493,1012,0,0,1,493,493,1,2,0,-1,-1
bopdp.3_100,favoid,-1,16,ltl3tela,10,OK,7.040,2018-05-14.19:17:19,2081906,2082225,11022724,5419927,5460422,0,26081,1,5419927,527,1,4,2082525,-1,-1
bopdp.3_100,favoid,-1,16,rabinizer3,10,OK,4.590,2018-05-14.19:17:27,1040953,1041327,2762068,3408895,3423331,0,10317,1,3408895,616,1,2,1040854,-1,-1
bopdp.3_101,favoid,-1,16,finless,-1,OK,13.690,2018-05-14.19:17:43,28560168,28972008,127150096,31752396,146465858,48,106218848,280555,31653744,3948,9,8,0,-1,-1
bopdp.3_101,favoid,-1,16,ltl3tela,-1,OK,26.770,2018-05-14.19:18:14,8293304,8327624,46166000,18025280,23563788,6,4613345,31172,18008478,2795,1,8,8327616,-1,-1
bopdp.3_101,favoid,-1,16,rabinizer3,-1,OK,4.910,2018-05-14.19:18:21,2064746,2081906,5494820,4300523,6737088,2,2160497,12400,4295587,2883,2,2,946207,-1,-1
bopdp.3_102,favoid,-1,16,ltl3dra,10,OK,0.190,2018-05-14.19:18:24,594,877,1904,970,1256,1,0,0,970,294,6,3,959,-1,-1
bopdp.3_103,favoid,-1,16,finless,-1,OK,1.790,2018-05-14.19:18:31,2472920,2507240,7380084,2840650,8537196,5,5266435,29746,2833674,2847,6,2,0,-1,-1
bopdp.3_103,favoid,-1,16,ltl3tela,-1,OK,4.850,2018-05-14.19:18:41,2126568,2143728,6093016,4398124,7520881,4,2582685,17028,4393245,2657,3,2,1017317,-1,-1
bopdp.3_103,favoid,-1,16,rabinizer3,-1,OK,9.480,2018-05-14.19:18:53,4614601,4680249,13353723,8836112,16501503,11,6409072,63259,8815665,3427,6,3,1706529,-1,-1
